دانشکده,رشته,سن,شهر سکونت,قومیت,اغلب شب‌ها در چه بازه‌ی زمانی می‌خوابید؟,اغلب صبح‌ها چه ساعتی بیدار می‌شوید؟,سطح تحمل سر و صدا در شما چه‌گونه است؟,عادات مطالعه شما به چه صورت است؟,شما در نظافت و سازماندهی جزو کدام دسته از افراد هستید؟,دین
علوم زیستی,rare,20,اصفهان,لر,2-3,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
حقوق و علوم سیاسی,زیست فناوری,20,کرمان,other,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,چندرسانه‌ای,18,rare,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
هنر و معماری,زیست شناسی - علوم سلولی و مولکولی,18,البرز,other,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,جغرافیا,23,آذربایجان شرقی,فارس,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,rare,25,آذربایجان شرقی,فارس,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,جغرافیا,20,خراسان رضوی,other,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,مهندسی مکانیک,21,rare,ترک,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,مدیریت بیمه,21,آذربایجان غربی,لر,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,rare
علوم جغرافیایی,چندرسانه‌ای,19,تهران,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,زیست شناسی جانوری - سلولی تکوینی,21,مازندران,فارس,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
حقوق و علوم سیاسی,مهندسی صنایع,20,سمنان,فارس,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست شناسی جانوری - سلولی تکوینی,22,خراسان رضوی,فارس,2-3,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم ریاضی و کامپیوتر,فیزیک,24,مازندران,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
روانشناسی و علوم تربیتی,فیزیک,18,اردبیل,کرد,10-11,7-8,علاقه مند به محیط های پر جنب و جوش,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,فیزیک,25,البرز,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,زیست شناسی - علوم گیاهی,25,خراسان رضوی,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,چندرسانه‌ای,24,اصفهان,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم مالی,آموزش زبان انگلیسی,22,تهران,other,10-11,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
شیمی,مشاوره,21,لرستان,گیلک,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,فیزیک,28,قم,فارس,11-12,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,rare,25,فارس,فارس,1-2,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,فیزیک,20,آذربایجان شرقی,ترک,10-11,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
شیمی,rare,19,مازندران,other,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,فیزیک,23,کرمانشاه,مازندرانی,10-11,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مهندسی مکانیک,23,زنجان,فارس,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
ادبیات و علوم انسانی,مدیریت بیمه,25,یزد,فارس,1-2,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,زیست شناسی - علوم گیاهی,30,زنجان,کرد,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
فنی مهندسی,مهندسی برق-کنترل,20,rare,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
rare,rare,26,فارس,other,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,مهندسی کامپیوتر - نرم افزار,24,اصفهان,other,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,فیزیک,25,قزوین,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,چندرسانه‌ای,26,تهران,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,آموزش زبان انگلیسی,18,تهران,کرد,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
شیمی,زیست فناوری,23,سمنان,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم جغرافیایی,زیست شناسی - علوم گیاهی,19,rare,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,جامعه شناسی,20,rare,other,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,چندرسانه‌ای,22,قزوین,فارس,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,مهندسی صنایع,26,rare,فارس,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,زیست فناوری,23,گلستان,مازندرانی,10-11,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست شناسی - علوم گیاهی,21,گلستان,فارس,11-12,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مدیریت بیمه,21,آذربایجان غربی,other,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,جامعه شناسی,25,اصفهان,لر,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,زیست فناوری,29,یزد,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,rare,25,سمنان,ترک,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم مالی,مددکاری اجتماعی,20,آذربایجان غربی,لر,11-12,4-5,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,زیست شناسی - علوم گیاهی,23,مرکزی,ترک,1-2,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم مالی,چندرسانه‌ای,19,اصفهان,فارس,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم جغرافیایی,فیزیک,24,تهران,لر,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
حقوق و علوم سیاسی,جغرافیا,22,سمنان,فارس,10-11,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,rare,18,rare,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,فقه و حقوق اسلامی,22,اصفهان,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,فیزیک,26,تهران,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,فیزیک,26,لرستان,مازندرانی,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,زیست فناوری,21,rare,لر,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,زیست فناوری,21,آذربایجان شرقی,ترک,10-11,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,مهندسی کامپیوتر - نرم افزار,20,فارس,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم جغرافیایی,مهندسی کامپیوتر - نرم افزار,18,rare,گیلک,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,شیمی محض,19,آذربایجان شرقی,فارس,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,جغرافیا,30,زنجان,فارس,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
شیمی,زیست شناسی - علوم گیاهی,20,rare,لر,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,مددکاری اجتماعی,19,اصفهان,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
هنر و معماری,چندرسانه‌ای,21,کرمان,فارس,12-1,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,rare,21,rare,مازندرانی,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,مددکاری اجتماعی,20,آذربایجان غربی,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان-سنی
علوم ریاضی و کامپیوتر,مدیریت بیمه,29,قزوین,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,مهندسی کامپیوتر - نرم افزار,22,قزوین,فارس,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,فیزیک,30,تهران,لر,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,چندرسانه‌ای,21,آذربایجان غربی,مازندرانی,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,زیست شناسی - علوم گیاهی,25,rare,کرد,12-1,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
روانشناسی و علوم تربیتی,فیزیک,22,لرستان,فارس,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,مهندسی کامپیوتر - نرم افزار,20,زنجان,فارس,1-2,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,rare,18,سمنان,لر,10-11,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
ادبیات و علوم انسانی,جامعه شناسی,19,خراسان رضوی,فارس,12-1,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,rare,21,خراسان رضوی,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان-سنی
علوم زیستی,rare,20,کرمان,فارس,12-1,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
فیزیک,مدیریت بیمه,18,سمنان,فارس,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مددکاری اجتماعی,25,آذربایجان غربی,لر,1-2,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,rare,20,لرستان,ترک,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,فیزیک,19,یزد,فارس,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
حقوق و علوم سیاسی,زیست فناوری,19,اردبیل,لر,11-12,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست شناسی - علوم گیاهی,21,اردبیل,other,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
ادبیات و علوم انسانی,زیست فناوری,21,آذربایجان شرقی,کرد,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,مهندسی مکانیک,20,کرمانشاه,ترک,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
شیمی,فیزیک,22,لرستان,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,جغرافیا,25,آذربایجان شرقی,ترک,12-1,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم جغرافیایی,جامعه شناسی,24,آذربایجان شرقی,لر,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,چندرسانه‌ای,21,سمنان,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,زیست شناسی - علوم گیاهی,22,مازندران,مازندرانی,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,زیست شناسی - علوم گیاهی,20,اصفهان,گیلک,12-1,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
فنی مهندسی,مهندسی مکانیک,17,یزد,فارس,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,فیزیک,19,تهران,مازندرانی,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,فیزیک,21,rare,فارس,10-11,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
